Hash,Condition,turn1,turn2,turn3,turn4
b1638057,13-B,https://moduloresearch.com/debates/prolific_qp/13/5d9689efdebe377133ec071f388d879c7.html,https://moduloresearch.com/debates/prolific_qp/13/6250ded22053d544079c7928390a66dc3.html,https://moduloresearch.com/debates/prolific_qp/13/7e6519d9eccbfdfc89160d0b81a9b47da.html,https://moduloresearch.com/debates/prolific_qp/13/8dd9e3588913f155d31567c3e87c84ed7.html
a4fe2177,14-A,https://moduloresearch.com/debates/prolific_qp/14/14f8f587c94822b9d6d35d09bb278a335.html,https://moduloresearch.com/debates/prolific_qp/14/27e1cc44bfe7719a17ad494d06c5fb6ea.html,https://moduloresearch.com/debates/prolific_qp/14/349c77c7671a222467c872ac6cc8ec14a.html,https://moduloresearch.com/debates/prolific_qp/14/414ec542c884f5c965707cab2c48079cc.html
29810818,14-B,https://moduloresearch.com/debates/prolific_qp/14/5add14dd9af2a232ad896609c8916f01c.html,https://moduloresearch.com/debates/prolific_qp/14/6d46598ec6e100a76052a128f899b21dc.html,https://moduloresearch.com/debates/prolific_qp/14/71b34b5386d3f2addede00f184f839e90.html,https://moduloresearch.com/debates/prolific_qp/14/8ddcba498a0497d2738bd88a0184fcc42.html
fbbbb676,15-A,https://moduloresearch.com/debates/prolific_qp/15/1ae3b40e2490586238c276413fd3cd027.html,https://moduloresearch.com/debates/prolific_qp/15/2b9ab71f2c976cd63dd95e055fbbd921f.html,https://moduloresearch.com/debates/prolific_qp/15/34087b30afd97702c52818b040696c1be.html,https://moduloresearch.com/debates/prolific_qp/15/46e64039cf42d18fe75bf99d1697b262b.html
f8440c11,15-B,https://moduloresearch.com/debates/prolific_qp/15/562559a243368fa2a60e16af4991a4265.html,https://moduloresearch.com/debates/prolific_qp/15/6387a74bc14e161a6e775e92db234096f.html,https://moduloresearch.com/debates/prolific_qp/15/7042f766a39e9b33488a6c0610ede45a2.html,https://moduloresearch.com/debates/prolific_qp/15/898d0c557869ded6379448a9d901390c6.html
28a61f19,16-A,https://moduloresearch.com/debates/prolific_qp/16/1f0419f9ee2a723750dde1ff34bbfb349.html,https://moduloresearch.com/debates/prolific_qp/16/2e848cf167e2126d4cead7105309e3042.html,https://moduloresearch.com/debates/prolific_qp/16/346631ced9a94532e3f2f53f4b6e356f6.html,https://moduloresearch.com/debates/prolific_qp/16/4353af17b6a6c844a01e64da73235c4df.html
22b155d7,16-B,https://moduloresearch.com/debates/prolific_qp/16/50bc8d74a44a35cc8d019c31d37ae7ce5.html,https://moduloresearch.com/debates/prolific_qp/16/6defba2e2b784971f7211d7ec52e069c7.html,https://moduloresearch.com/debates/prolific_qp/16/799f235334bb94d00a17243d118ad205e.html,https://moduloresearch.com/debates/prolific_qp/16/8c740b9ae17d3f381606ab9826f8b6f65.html
24dda72e,17-A,https://moduloresearch.com/debates/prolific_qp/17/170f5420ea51829f53e0e610f31b5c358.html,https://moduloresearch.com/debates/prolific_qp/17/205fd53886dcb28e28bc45ec5271cfc97.html,https://moduloresearch.com/debates/prolific_qp/17/3ec8015c094fdabce5c1c15363c1bbff2.html,https://moduloresearch.com/debates/prolific_qp/17/421bda8f3577dd120f4a0d4b492011d04.html
29f5f2ae,17-B,https://moduloresearch.com/debates/prolific_qp/17/5cbeb219ac0e7c3b77b00db109a176ba6.html,https://moduloresearch.com/debates/prolific_qp/17/68212fcbb01819a4415eac13f4107524e.html,https://moduloresearch.com/debates/prolific_qp/17/73c708461e505108ab4d9b26c1acc95dd.html,https://moduloresearch.com/debates/prolific_qp/17/8ef6f129deccd37fc9069473124cc7099.html
5366831f,18-A,https://moduloresearch.com/debates/prolific_qp/18/1b532ddcc9c2910231bb5a3858f662310.html,https://moduloresearch.com/debates/prolific_qp/18/2e6ebe739da480ef2dd1b55c9faa3e9a6.html,https://moduloresearch.com/debates/prolific_qp/18/377518f2aeb2d31b6fa843fe97c12b955.html,https://moduloresearch.com/debates/prolific_qp/18/4201362ff69341d0559d1c9db45ccb86a.html
d68d8880,18-B,https://moduloresearch.com/debates/prolific_qp/18/50d8c0dd285fe396d97cfa9771438fcc0.html,https://moduloresearch.com/debates/prolific_qp/18/63db9fb6a80ecbb6fdf6d0834e31f96be.html,https://moduloresearch.com/debates/prolific_qp/18/7ccc3be9a87f9e0fb67db4e2e1f1795f7.html,https://moduloresearch.com/debates/prolific_qp/18/879c1b2360f30a661974ec10855bd1d6b.html
